Company;Total games;Published games;Avg owners...4;Developed games;Avg owners...6
海量福利免费领，天天送真充！;2,000;0;0;0;0
百歌CentChansons;1,000;0;0;0;0
硕狗累累工作室(HarvestDog);1,000;0;0;0;0
箱崎奈绪(Hakozaki Nao);1,000;0;0;0;0
純白花園WeissGarden;1,000;0;0;0;0
花熊工作室;1,000;0;0;0;0
Ｌｅｍｏｎ　Ｂａｌｍ;1,000;1;35000;0;0
!CyberApex (SkagoGames);4,000;0;0;2;10000
!Lim studio;9,000;9;110000;0;0
"""BARITONE""";1,000;0;0;0;0
"""CR1STL""";1,000;0;0;0;0
"""Nieko""";1,000;0;0;1;10000
"""RevDay Studio""";1,000;1;10000;1;10000
#12;1,000;0;0;1;10000
#LOL Entertainment;3,000;0;0;0;0
#NVJOB;1,000;0;0;1;10000
#TaiwanNo1;1,000;1;10000;0;0
#workshop;6,000;0;0;3;75000
$mitE;1,000;1;10000;1;10000
'Kill On Sight' Game development;1,000;1;10000;1;10000
'What Day is it?' Games;1,000;0;0;1;10000
((no-end-parens Studio;1,000;1;10000;1;10000
(BerCh1n);1,000;0;0;0;0
(Just) Jordan;1,000;0;0;0;0
(Just)Jordan;1,000;0;0;0;0
(Logic Games);1,000;0;0;0;0
(Mark Ainsworth);4,000;0;0;0;0
(Myco);1,000;1;150000;0;0
(none);2,000;2;350000;0;0
(Solo Developer);1,000;0;0;1;10000
(STCG) Smoker The Car Game;1,000;1;10000;1;10000
(주)소울엑스;1,000;0;0;0;0
(주)펀웨이브;1,000;0;0;0;0
*aAa*;1,000;0;0;0;0
++Good Games;1,000;1;10000;0;0
+7 Software;3,000;1;35000;1;35000
+LIVE;1,000;0;0;0;0
+MPACT Games;2,000;0;0;0;0
+Mpact Games, LLC.;1,000;1;75000;1;75000
+Umbrella;4,000;1;10000;1;10000
-;26,000;9;40000;1;10000
--;1,000;1;10000;0;0
---;1,000;1;10000;1;10000
-CyberWave-;1,000;0;0;0;0
-In.;2,000;1;10000;0;0
-Yodasaurus- Games;3,000;2;10000;2;10000
-乌鸦男-;1,000;1;10000;1;10000
-菂-;1,000;0;0;0;0
.;2,000;2;10000;1;10000
...;3,000;2;35000;0;0
.99Games;1,000;0;0;0;0
.Cat;1,000;1;10000;1;10000
.dat;3,000;0;0;2;350000
.ez Games;2,000;2;10000;2;10000
.Life Gaming Studio;1,000;0;0;0;0
.M.Y.W.;2,000;2;10000;2;10000
.orphans;2,000;1;35000;0;0
.ToNg;3,000;2;10000;2;10000
.xrm;1,000;0;0;0;0
//commentout;3,000;0;0;1;10000
0;2,000;0;0;0;0
0 Deer Soft;8,000;0;0;3;10000
0 Deer Soft Partnership;8,000;3;10000;0;0
0! Crunch Entertainment;1,000;0;0;0;0
0-Game Studios;2,000;1;10000;1;10000
001;3,000;3;10000;3;10000
001Studios;1,000;0;0;0;0
007berd;1,000;1;35000;1;35000
01 Games;1,000;0;0;1;10000
01 Studio;3,000;0;0;0;0
011 Games;3,000;2;75000;2;75000
021Workshop;16,000;1;35000;1;35000
02GAMES;5,000;3;150000;1;10000
0451holyland;1,000;0;0;0;0
072 Project;40,000;1;10000;0;0
07th Expansion;14,000;0;0;14;30000
08 Games;2,000;0;0;1;35000
0801 LLC;1,000;0;0;0;0
0Bennyman;2,000;0;0;1;10000
0Cube;46,000;19;30000;3;10000
0Dark&Nerdy;2,000;2;75000;2;75000
0ddarriCompany;1,000;0;0;0;0
0edit;1,000;0;0;0;0
0o0;1,000;1;10000;1;10000
0UP GAMES;2,000;2;75000;0;0
0x3;1,000;0;0;1;10000
0_stamina;1,000;1;10000;1;10000
1;1,000;1;10000;1;10000
1 Flame Studio;1,000;1;10000;1;10000
1 Look Games;1,000;1;10000;1;10000
1 Simple Game;4,000;0;0;0;0
1 Trait Danger;2,000;1;10000;0;0
1-reality;5,000;1;750000;1;750000
1.5 hp games;1,000;1;10000;1;10000
1/13s;1,000;1;10000;1;10000
1/2ofOctahedron;2,000;1;10000;1;10000
10 Chambers;2,000;1;1500000;1;1500000
10-2 Knees;2,000;1;10000;1;10000
100 Cozy Games;30,000;0;0;0;0
100 Creepy Tales;3,000;1;10000;1;10000
100 GAMES;4,000;1;10000;1;10000
